"id","submitdate","lastpage","startlanguage","Q1S1","Q1a","Q2S1","Q3S2","Q3S3","Q3S4","Q3S5","Q3S6","Q4S1","Q4S2","Q4S3","Q5S1","Q5S2","Q5S3","Q6","Q7","Q8S1","Q8S2","Q8S3","Q8S4","Q9","Q10S2","Q10S3","Q10S4","Q10S5","Q10S6","Q11S2","Q11S3","Q11S4","Q11S5","Q11S6","Q11S7","Q12S1","Q12S2","Q202S1","Q202S2","Q202a","Q203S1","Q203S2","Q203a","Q204S1","Q204S2","Q204a","Q208S1","Q208S2","Q208a","Q207S1","Q207S2","Q207a","Q205S1","Q205S2","Q205a","Q206S1","Q206S2","Q206a","Q209S1","Q209S2","Q209a","Q201S1","Q201S2","Q201a","Q210S1","Q210S2","Q210a","Q211S1","Q211S2","Q211a","Q212S1","Q212S2","Q212a","Q213S1","Q213S2","Q213a","Q200S1","Q200S2","Q200a","Q103SQ001","Q103SQ002","Q103SQ003","Q104SQ001","Q104SQ002","Q104SQ003","Q104SQ004","Q105","Q14","Q14comment","Q16","Q17","Q18"
"4","1980-01-01 00:00:00","5","en","Xpos","A1","Right","Alway","Alway","Somet","Alway","Alway","","","","","","","","","EX","EX","EX","EX","","Xpos","Xpos","Xpos","Xpos","Xpos","EX","EX","EX","EX","EX","EX","3","3","Xpos","Xpos","","Xpos","Xpos","","","","","","","","Xpos","Xpos","He is a quality person and teacher.","Xpos","Xpos","","Xpos","Xpos","","Xpos","Xpos","Dee, Leigh, and Gilbert are all great. Excellent teachers and wonderful people.","","","","","","","","","","","","","","","","Xpos","Xpos","Believes in what he is teaching and very patient.","","","","A2","A1","","","Very good.","A14","Past year.","Thought the camp was very good. Many positive changes. Please note that I could not comment on a number of the instructors because I didn't have them.  Likewise, I ate meals at the camp but didn't stay on site. Hope to see you next year. Thanks for everything.

","","Mark ONeal"
"5","1980-01-01 00:00:00","5","en","Xpos","A2","Right","Usual","Alway","Rarel","Alway","Alway","Music","Comraderie ","Instructors","More Instructor coaching of band skills and stagecraft","Repertoire reviews and enhancement","Assign Joan to me as permanent coach. ","Afternoon naps","Less talk more music","VG","VG","VG","VG","","Xpos","Xpos","Vpos","Xpos","Xpos","VG","ADQ","ADQ","VG","VG","ADQ","4","4","Xpos","Xpos","Scott is one of the best instructors I've ever had. Compassionate, empathetic and a master musician. ","Xpos","Xpos","Same as Scott. One of the very best. ","","","","Xpos","Xpos","Joan makes you feel great about your music and yourself. A truly good person. ","Xpos","Xpos","Keith is the most challenging of the instructors. He pushes you beyond your comfort zone. Big lesson in listening to each other. Hearing the music. Alternate rhythms, harmony lines and counterpoint. He is Mr. Fantastic","","","","","","","","","","","","","Vpos","Vpos","Julie is fun to be with and very positive in her coaching. ","","","","","","","","","","Vpos","Xpos","Another great camps Pete. Thanks for all you do. ","","","","","","","","It was OK. ","A13","","I appreciated how much Pete was willing to accommodate the more senior attendees. Allowing us to form our own groups made it fun for us and ensured no one was held back by level differences. We had a great time. ","","John Ritchhart "
"6","1980-01-01 00:00:00","5","en","Xpos","A2","Right","Alway","Alway","Rarel","Alway","Alway","Staff! Pete, Keith, Steve, Scott, Gilbert & family, Scooter --- all awesome! ","","","","","","","","EX","EX","EX","","","Xpos","Xpos","Xpos","Xpos","Xpos","","","","","EX","","5","4","Xpos","Xpos","","Xpos","Xpos","","Xpos","Xpos","","Xpos","Xpos","","Xpos","Xpos","","Xpos","Xpos","","","","","","","","","","","","","","","","","Vpos","Pos","","","","","Xpos","Xpos","","","","","A1","A1","A1","","Great.","","","","",""
"7","1980-01-01 00:00:00","5","en","Xpos","A1","2slow","Alway","Usual","Somet","Alway","Alway","","","","More instrument class time","","","","","EX","EX","VG","VG","","Xpos","Xpos","Xpos","Xpos","Xpos","EX","EX","EX","EX","EX","","5","5","","","","Xpos","Xpos","","","","","Xpos","Xpos","","","","","Xpos","Xpos","","Xpos","Xpos","","Xpos","Xpos","","","","","","","","","","","","","","","","","Xpos","Xpos","","","","A1","","","A1","","","A2","","","",""
"8","1980-01-01 00:00:00","5","en","Xpos","A2","Right","Usual","Alway","Rarel","Alway","Alway","discussing with the instructors techniques and practice regimes to improve proficiency","Seeing the younger people overcome stage-fright and grow before my eyes","Keith Yoder's improvization class","","","","","","VG","VG","VG","ADQ","More basic song lyrics in a pocket size booklet form","Vpos","Vpos","Vpos","Vpos","Vpos","","","","","ADQ","ADQ","3","3","","","never was in his class or group","Vpos","Vpos","He is so good it is simultaneously intimidating and inspirational","","","never was in his class or group","Vpos","Vpos","","Xpos","Vpos","Fun and thought provoking methods","Vpos","Vpos","Gilbert is a lot of fun and was inspired to stay late and jam with us very well","","","never was in her class or group","","","never was in his class or group","Vpos","Vpos","Cecil was knowledgable and helpful","","","never was in her class or group","","","never was in his class or group","","","never was in his class or group","","","never was in his class or group but jammed with him a little","Vpos","Vpos","I appreciate your desire to spread the picking and the work you do to make that happen","A1","","","A2","A2","A2","","It was good and plentiful","A11","","","",""
"10","1980-01-01 00:00:00","5","en","Xpos","","Right","Usual","Usual","Rarel","Usual","Usual","Encouragement and positive feedback about my music","Getting to interact with other musicians
","Playing with and listening to great staff musicians","Food, it has been better other years","Put band camp members in at least 1 or 2 hrs of jam with nonbank members each day","","If you have a band camp track, have  a band showcase on Monday night","","EX","VG","VG","EX","","Vpos","Xpos","Xpos","Xpos","Xpos","","","","","","","5","4","Xpos","Xpos","","Xpos","Xpos","","Xpos","Xpos","","Xpos","Xpos","","Xpos","Xpos","","Xpos","Xpos","","","","","","","","","","","","","","","","","Vpos","Pos","","","","","Vpos","Vpos","","","","","A1","A1","A1","","","A13","","","",""
"11","1980-01-01 00:00:00","5","en","Vpos","A1","Right","Alway","Alway","Somet","Alway","Alway","The people and being around others that enjoy same style of music. ","The instructors (guitar) and how they presented. All were highly skilled and passionate about teaching. Also, Pete's focus keeping everything on schedule so could learn as much as possible while there. ","Camp Harrison and the staff.","Maybe videoing the pavilion performances and a way students could access them afterwards. ","","","","","EX","EX","EX","EX","For first timers, maybe a short list of the songs that were sang a lot while there. Moreover, to learn lyrics.","Xpos","Xpos","Xpos","Xpos","Xpos","EX","EX","EX","EX","","EX","5","5","","","","","","","","","","","","","Xpos","Xpos","","Xpos","Xpos","","Xpos","Xpos","","Xpos","Xpos","","","","","","","","","","","","","","","","","Xpos","Xpos","","A1","","","A1","A1","A1","A1","Food was great. ","A2","","Thank you Pete and Joan. Your class bumped me up another level musically and looking forward to next year. ","","Joe King"
"12","1980-01-01 00:00:00","5","en","Vpos","A2","Right","Usual","Usual","Rarel","Usual","Usual","Getting together with old friends to jam.","Learning new techniques on bluegrass instruments,  (Fiddle)","Learning some new songs or alternate ways to present old ones","Seems like this camp is fine tuned into a well oiled machine.  Not much needs to be changed","","","Back up playing, keeping rhythm behind the singer or soloist.   ","nothing,  seems like the right mix is there.","EX","EX","EX","EX","It's just fine.","Vpos","Xpos","Vpos","Xpos","Xpos","VG","ADQ","ADQ","VG","VG","VG","5","5","Xpos","Xpos","Showed me some very cool fiddle fill-ins.   Also some nice double stops and chop rhythym.","","","Didn't get a chance to pick with Steve this year.","","","Didn't get a chance to pick with Scott.","Xpos","Xpos","Enjoyed Joan's time with the (Old Guys).  She had two very cool songs she contributed.","Xpos","Xpos","Keith always seemed to show up when the jam circle was fading and going south.  His enthusiasm never ceased to spill over and pick us all up.  Enjoyed his spin on doing up tempo break down songs into waltz time songs.  Always a fun time with Keith.","","","Didn't get a chance to jam with Gilbert.","","","Didn't get a chance to jam with Leigh.","","","Didn't get a chance to jam with Dee","","","Didn't get a chance to jam with Cecil","","","","","","","","","","","","","","","Always look forward to April in Boomer with Pete.   A wealth of knowledge.","","","","","A2","A1","","Lots of scrambled eggs this year.  It was all pretty good though and better then Steve Kaufman's Camp food.  His is legendary as being the worst.","A3","","","","Dave (Bob) Cudlip"
"13","1980-01-01 00:00:00","5","en","Xpos","A1","Right","Alway","Usual","Somet","Alway","Alway","I really appreciated  the acceptance in the group even though I could not solo well at all  but could chord and keep up. everyone seemed to understand that I wanted to fit in","I really appreciated that you Dr Pete took time to personally speak to me and even though you were spread thin with such a large camp you made a point of visiting our jam band with suggestion instead of sending us to another instructor.","your recommendations of what materials we needed-books and dvds were truly just recommendations    not an endless advertisement  (as in some other camps)","I really enjoyed the harmony singing lessons.  I think the singing is often the weakest link in the jam and many people feel insecure  when they are asked to sing anything   It is very difficult to get them to break through the stagefright","","","You said this but for many closet players like  me  the approach has been wrong  we buy a book memorize the tab of one song after another and when we get in a group cant keep up or our memorized thing doesnt fit in . you have to learn to keep up then play the tune then add the licks on the spot by ear. a different method ","less food I gained 5 pounds","EX","EX","EX","VG","list the tunes you are going to cover in the camp.  you sent the msot popular tunes  then jammed with  different tunes","Xpos","Xpos","Xpos","Xpos","Pos","","","","","EX","EX","5","5","","","","","","","Xpos","Xpos","","","","","","","","Xpos","Xpos","","","","","","","","","","","","","","","","","Vpos","Vpos","","","","","Xpos","Xpos","","A1","","","","A1","A1","","good I gained 5 pounds","A9","bluegrass unlimited ad","thanks for taking me at the last minute   Wesley Lawton MD","",""
"14","1980-01-01 00:00:00","5","en","Xpos","A2","Right","Usual","Usual","Somet","Usual","Somet","Seeing old friends","Playing with better musicians","Expert instruction","Make band group performance Tue and fun open mike jamboree last night","","","","","VG","VG","VG","VG","Pre select MERLEFEST songs email before camp so novice campers can feel more prepared and already know the words and melody","Vpos","Xpos","Xpos","Vpos","Vpos","VG","ADQ","ADQ","ADQ","ADQ","ADQ","5","5","Xpos","Xpos","Cannot improve","Xpos","Xpos","His breakout guitar lessons were the highlight of my week","Xpos","Xpos","I asked Scooter to teach me a specific technique and he made time and I learned that and can use it to progress my technique. His mando group lessons were right on also","Vpos","Vpos","Not much time with Joan","Xpos","Xpos","Couldn't be better","Xpos","Xpos","I plan to attend more camps with him he is a great asset to your program","Xpos","Xpos","Couldn't be better she is a star player","","","","","","Got our jam group back on track quickly with expert coaching","","","","","","","Vpos","Vpos","Have him back","Vpos","Vpos","Have him back","Vpos","Vpos","","","","","A2","A1","A1","","O.k. ","A2","","","",""
